event_key,title,country,event_time,impact,actual_raw,forecast_raw,previous_raw,first_seen,last_seen
9ad09ddaca46bbfda11846987b4af24713e20352,Spanish Unemployment Rate,EUR,2026-07-28T03:00:00-04:00,Low,,10.1%,10.8%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
27e27756ccfa41c65d98753394e9f69f105588bb,German Buba Monthly Report,EUR,2026-07-28T06:00:00-04:00,Low,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
1112aa09c77cd0a73c9b5c1d7e4ee65b24ffd7bb,ADP Weekly Employment Change,USD,2026-07-28T08:15:00-04:00,Low,,,16.5K,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
b00714a72d5b7f6e6e97d883800e3b6bc760fff5,Goods Trade Balance,USD,2026-07-28T08:30:00-04:00,Low,,-100.3B,-105.8B,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
e73ffcca60761c4bd09acc50ab11a18439deca13,Prelim Wholesale Inventories m/m,USD,2026-07-28T08:30:00-04:00,Low,,0.4%,0.3%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
d08eb0ef0281a7420fa733fc3c8a0923b6d63fef,HPI m/m,USD,2026-07-28T09:00:00-04:00,Low,,0.1%,-0.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
d340f15ff2b1a31e62d995b912986bf859e8b1b8,S&P/CS Composite-20 HPI y/y,USD,2026-07-28T09:00:00-04:00,Low,,1.3%,1.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
fc1841106bb22754f44ab23592db85afd55bc1c9,CB Consumer Confidence,USD,2026-07-28T10:00:00-04:00,Medium,,92.4,91.2,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
ee4d53b291b80073327d5925ae48428bdd25a59f,Richmond Manufacturing Index,USD,2026-07-28T10:00:00-04:00,Low,,7,4,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
00e9806c3f42a7b23546ca301559fb34d5a682f0,API Weekly Statistical Bulletin,USD,2026-07-28T16:30:00-04:00,Low,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
409b94ec7701fec944ea5085045fdd0e56911d85,CPI m/m,AUD,2026-07-28T21:30:00-04:00,High,,0.2%,-0.7%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
557426915aabf8b636ceb1fc87840e18bdae9adf,CPI y/y,AUD,2026-07-28T21:30:00-04:00,High,,4.0%,4.0%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
7045f3798f32ae99deca218314f881d9935f0dac,Trimmed Mean CPI m/m,AUD,2026-07-28T21:30:00-04:00,High,,0.3%,0.4%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
bd35438f47bdd1b581eb9db9a006391473049870,German Import Prices m/m,EUR,2026-07-29T02:00:00-04:00,Low,,-0.7%,0.7%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
ee271647247294a6059ffe9e6499dca7be0c75e6,UBS Economic Expectations,CHF,2026-07-29T04:00:00-04:00,Low,,,-25.0,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
0c1542eb8fc6c195c44c2851b09ce7058bf24c58,M4 Money Supply m/m,GBP,2026-07-29T04:30:00-04:00,Low,,0.2%,0.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
ca32d0b07e1a1b1b3f4c70f261a2d82ded5b018f,Mortgage Approvals,GBP,2026-07-29T04:30:00-04:00,Low,,57K,56K,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
da25fe05d608eef75f9dce7d26fb12eb05123790,Net Lending to Individuals m/m,GBP,2026-07-29T04:30:00-04:00,Low,,5.5B,4.6B,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
afae72cde13d152be307f8286c71ca66e4e1e2e1,German 10-y Bond Auction,EUR,2026-07-29T05:31:00-04:00,Low,,,3.09|1.0,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
47bdc0a0afc6936289cc772856fd39fc01e8c595,Crude Oil Inventories,USD,2026-07-29T10:30:00-04:00,Low,,0.7M,2.0M,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
445d460b4f049e5ba58fa5b07ac7688019575dbe,BOC Summary of Deliberations,CAD,2026-07-29T13:30:00-04:00,Low,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
8de12d8990f4649bf6d37bb33086647e74d5cd83,FOMC Statement,USD,2026-07-29T14:00:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
b9fabf2b8c7fe8e61f1395371da789c5c4a88c66,Federal Funds Rate,USD,2026-07-29T14:00:00-04:00,High,,3.75%,3.75%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
01e05fb6f4acf9ec5a49946efe4d7022b2138b70,FOMC Press Conference,USD,2026-07-29T14:30:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
8622ef4ee680ec4d9817b7b2c450878facfc5e8e,RBA Assist Gov Hunter Speaks,AUD,2026-07-29T18:40:00-04:00,Low,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
f4f000531975915ecdebc8a465c06ef34badf800,ANZ Business Confidence,NZD,2026-07-29T21:00:00-04:00,Low,,,36.6,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
fe2756ba6f5e020404c711a7f53329b3b7b33f12,Building Approvals m/m,AUD,2026-07-29T21:30:00-04:00,Low,,-0.7%,-1.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
9dc48e299464a729bd535e061cabbc497f129e6c,Import Prices q/q,AUD,2026-07-29T21:30:00-04:00,Low,,0.0%,0.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
75e3a55ef7a9719b2162b2bbf34f8830af390709,Consumer Confidence,JPY,2026-07-30T01:00:00-04:00,Low,,34.2,33.8,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
afb070c7a38b7d3aaec1ad50df8e6e8fa630916f,French Consumer Spending m/m,EUR,2026-07-30T01:30:00-04:00,Low,,-0.1%,0.5%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
9f9c042f1b33c4b14c1540a4029b2ff21e32801d,French Flash GDP q/q,EUR,2026-07-30T01:30:00-04:00,Low,,0.2%,-0.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
c5dd52ee33b8d5b00863c595b23ba5d85b93d367,German Prelim CPI m/m,EUR,2026-07-30T02:29:00-04:00,Medium,,0.7%,-0.3%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
52e1ef0651948a720aa8bcd0ce3c8d2769f32e64,French Prelim Private Payrolls q/q,EUR,2026-07-30T02:45:00-04:00,Low,,-0.1%,-0.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
bdd15a5616bbde210695b5acc4ed77a8a10ff95f,KOF Economic Barometer,CHF,2026-07-30T03:00:00-04:00,Low,,100.9,101.2,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
386d834dcbc64e2e23d329ec094a626d36798c6e,Spanish Flash CPI y/y,EUR,2026-07-30T03:00:00-04:00,Low,,3.2%,3.2%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
1e855e3f159630dca4c1bca19bd76fd5cefc4727,Spanish Flash GDP q/q,EUR,2026-07-30T03:00:00-04:00,Low,,0.6%,0.6%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
cb49c19d33236598c7da5f23f6a6e177a3960a93,German Prelim GDP q/q,EUR,2026-07-30T04:00:00-04:00,Medium,,0.1%,0.3%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
06aaec6b59a61344fa33faec12393bb39968b83a,Italian Prelim GDP q/q,EUR,2026-07-30T04:00:00-04:00,Low,,0.1%,0.2%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
0dc753fe8b1213f4a0ef5a98b91587798aa08f40,Italian Monthly Unemployment Rate,EUR,2026-07-30T05:00:00-04:00,Low,,5.0%,5.0%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
82b8533358fd3602c175a4548278ed3cc4ee4498,Prelim Flash GDP q/q,EUR,2026-07-30T05:00:00-04:00,Low,,0.2%,0.1%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
d3f4ad3b187cac1dc6da4a4dae94dc2ead366004,Unemployment Rate,EUR,2026-07-30T05:00:00-04:00,Low,,6.2%,6.2%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
3cb43684b82aabaeef0b529646efc75f0d86b88d,Italian 10-y Bond Auction,EUR,2026-07-30T05:06:00-04:00,Low,,,3.63|1.7,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
9563ecaafe937c39ce4fb729a39b1f3cdca1c5da,BOE Monetary Policy Report,GBP,2026-07-30T07:00:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
a52d6688f7114022ceacfce7c94a6f480ce57bd1,MPC Official Bank Rate Votes,GBP,2026-07-30T07:00:00-04:00,High,,2-0-7,2-0-7,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
d7c601d7241638b97603e955c0be7ea1e67c0e97,Monetary Policy Summary,GBP,2026-07-30T07:00:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
16f9734758853678b5a1d1382d7b5d9e71473b07,Official Bank Rate,GBP,2026-07-30T07:00:00-04:00,High,,3.75%,3.75%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
ebb6596e32c6703e863bf3b377c38f6c380ac1f6,BOE Gov Bailey Speaks,GBP,2026-07-30T08:00:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
da0eabc93a78cef3e0b38e67a4f944184c257a97,Advance GDP Price Index q/q,USD,2026-07-30T08:30:00-04:00,Medium,,4.1%,3.6%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
6deedd4dd87c8135afd4051e4449c58f41801990,Advance GDP q/q,USD,2026-07-30T08:30:00-04:00,High,,2.1%,2.0%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
c9e711098b1acc68fc001d023645c5f77bd6542b,Core PCE Price Index m/m,USD,2026-07-30T08:30:00-04:00,High,,0.2%,0.3%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
bd039528629860c4f141923ca57e8b937950dd68,Personal Income m/m,USD,2026-07-30T08:30:00-04:00,Low,,0.3%,0.7%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
f61ea3df67eb26f600e0325a90426532c944f064,Personal Spending m/m,USD,2026-07-30T08:30:00-04:00,Low,,0.4%,0.7%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
6fa092179617d5c8eaa5da882aa54d37689a7d81,Unemployment Claims,USD,2026-07-30T08:30:00-04:00,Medium,,201K,187K,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
47fe94ca62e0bb898cf67d56424ca6442e6bdc40,Natural Gas Storage,USD,2026-07-30T10:30:00-04:00,Low,,37B,32B,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
daf4396ba206bb1eca063a10667b034c2a6584f8,Tokyo Core CPI y/y,JPY,2026-07-30T19:30:00-04:00,Medium,,1.8%,1.6%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
8b8c6877b0380b92fd7740be729d90c1c4036921,Unemployment Rate,JPY,2026-07-30T19:30:00-04:00,Low,,2.5%,2.5%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
a024078963df1cb08144901c48b1a90a494d91f8,Prelim Industrial Production m/m,JPY,2026-07-30T19:50:00-04:00,Low,,1.0%,0.5%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
b24f26a9a2a02c999274dde1a131424de5b07158,Retail Sales y/y,JPY,2026-07-30T19:50:00-04:00,Low,,3.1%,5.3%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
6aa4c7abc8304511b8361129a981eaebfe3503d2,PPI q/q,AUD,2026-07-30T21:30:00-04:00,Low,,0.5%,0.4%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
1efb60152f96155d0bb1bb561f6c0659bcebb1d9,Private Sector Credit m/m,AUD,2026-07-30T21:30:00-04:00,Low,,0.6%,0.7%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
ad375ec3e6159dcecf4237582f08c152a67c66d1,Manufacturing PMI,CNY,2026-07-30T21:30:00-04:00,Low,,50.1,50.3,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
148a40481115772916418eff7e80d2d9fbdfd28d,Non-Manufacturing PMI,CNY,2026-07-30T21:30:00-04:00,Low,,50.0,50.2,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
aed653ca0a9bac4aebf0fc702f95c636107f371a,BOJ Outlook Report,JPY,2026-07-30T23:11:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
0f1858f9784d4114108a6f50c959df1950b84cbe,BOJ Policy Rate,JPY,2026-07-30T23:11:00-04:00,High,,<1.00%,<1.00%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
119054c940c639de69aaa78f040c6183bfad55ff,Monetary Policy Statement,JPY,2026-07-30T23:11:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
086f2d0093d07e4716f236cbc5bb83cf5e76d6aa,Housing Starts y/y,JPY,2026-07-31T01:00:00-04:00,Low,,12.7%,33.9%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
762250792a7888833115fe6e4c3350018efc7431,Nationwide HPI m/m,GBP,2026-07-31T02:00:00-04:00,Low,,0.1%,0.0%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
e4cac0e27d9795089fe026b0fc19b60ea04d83ee,Retail Sales y/y,CHF,2026-07-31T02:30:00-04:00,Low,,3.1%,3.5%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
a209b0f6d36d348884b7844d3e5c03e932b55641,BOJ Press Conference,JPY,2026-07-31T02:30:00-04:00,High,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
33930005112a60a97883d17c24f4e30bd710db04,French Prelim CPI m/m,EUR,2026-07-31T02:45:00-04:00,Low,,0.3%,-0.2%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
e315b64a7b7de562bfad5c5101eeffa865a7fb7c,German Unemployment Change,EUR,2026-07-31T03:55:00-04:00,Low,,5K,-1K,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
3e76774560c4b2a13fb2af457d3b5941d5e38453,CPI Flash Estimate y/y,EUR,2026-07-31T05:00:00-04:00,Medium,,2.9%,2.8%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
6887ddb391af016982a660fd1eb69aa7a8030a43,Core CPI Flash Estimate y/y,EUR,2026-07-31T05:00:00-04:00,Medium,,2.4%,2.4%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
890fafafd7c750b892d500a1b5ae5be601a142fb,Italian Prelim CPI m/m,EUR,2026-07-31T05:00:00-04:00,Low,,0.3%,0.0%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
a5553748beca24e8379146b42a643315b7ddff29,MPC Member Pill Speaks,GBP,2026-07-31T07:15:00-04:00,Low,,,,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
54a473250618569398d2279f33013072db5702de,GDP m/m,CAD,2026-07-31T08:30:00-04:00,High,,0.2%,0.5%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
e3c0e5f4fdb86b48b78444181ba89d56486e69ad,Employment Cost Index q/q,USD,2026-07-31T08:30:00-04:00,Medium,,0.8%,0.9%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
64294d53f2c405d21ef73796d645ff9f431b579b,Chicago PMI,USD,2026-07-31T09:45:00-04:00,Low,,55.9,56.7,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
2fca8b94cfb79ba001694e2b2288276643a55b47,Revised UoM Consumer Sentiment,USD,2026-07-31T10:00:00-04:00,Medium,,53.9,54.4,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
25ff763a58e5a009a6161d1c6350ad72c895bd20,Revised UoM Inflation Expectations,USD,2026-07-31T10:00:00-04:00,Medium,,,4.2%,2026-08-01T17:43:26+00:00,2026-08-01T19:26:29+00:00
3a1fa7874912cf2fd647cb981bd313b7936086e1,Bank Holiday,AUD,2026-08-02T17:00:00-04:00,Holiday,,,,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
c5fc52f0edd5c0e487e036706a308b62fc523f18,Building Consents m/m,NZD,2026-08-02T18:45:00-04:00,Low,,,-4.0%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
fce83ffa7243857a83f35b941d387d7162fd80f9,Final Manufacturing PMI,JPY,2026-08-02T20:30:00-04:00,Low,,54.7,54.7,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
17769470b4077dc50d1566f05a50e8afea34b29f,MI Inflation Gauge m/m,AUD,2026-08-02T21:00:00-04:00,Low,,,-0.4%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
e083cbebcb6f60b0c599d37a95cc212ca9f17af5,RatingDog Manufacturing PMI,CNY,2026-08-02T21:45:00-04:00,Low,,51.9,51.7,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
c9e778a85bf5f8a9cb977b04a7179698e0971436,German Retail Sales m/m,EUR,2026-08-03T02:00:00-04:00,Low,,-0.4%,1.1%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
bc580a19fb4a232bf42ad0c1b7256eea3ceaf364,CPI m/m,CHF,2026-08-03T02:30:00-04:00,Medium,,-0.1%,0.0%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
b8a9bbf2886148fc5292a928bf382951bb69cc96,Spanish Manufacturing PMI,EUR,2026-08-03T03:15:00-04:00,Low,,50.5,49.7,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
e55e293b974dad6f30843422104a4e4b454d09fb,Manufacturing PMI,CHF,2026-08-03T03:30:00-04:00,Low,,54.5,54.3,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
596dd750b51a381e672d320096453c7eeaf389eb,Italian Manufacturing PMI,EUR,2026-08-03T03:45:00-04:00,Low,,52.5,52.2,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
3dd3db1a4e8195b70a2165b665430965f574d357,French Final Manufacturing PMI,EUR,2026-08-03T03:50:00-04:00,Low,,50.0,50.0,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
72d1e874c50df953c04ac724215efbbf955bba81,German Final Manufacturing PMI,EUR,2026-08-03T03:55:00-04:00,Low,,52.2,52.2,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
97cebcaa5cb20ddc38c64b5742d7edb50d580807,Final Manufacturing PMI,EUR,2026-08-03T04:00:00-04:00,Low,,52.0,52.0,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
76229dac6e6bb6f7d257591ec6a8fad8c9fad66d,Final Manufacturing PMI,GBP,2026-08-03T04:30:00-04:00,Low,,52.8,52.8,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
eb0b21cdaa241a8c2c12ca8d90b126f301ebd451,Bank Holiday,CAD,2026-08-03T08:00:00-04:00,Holiday,,,,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
8bfc80151923073d2f56a78b02f31d52b2fbf765,Final Manufacturing PMI,USD,2026-08-03T09:45:00-04:00,Low,,53.8,53.8,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
4ce863ee04dbfd9bba6269aa60b85dda820eb008,Construction Spending m/m,USD,2026-08-03T10:00:00-04:00,Low,,0.2%,0.1%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
33069e1b8b7579280f7200c5156f0ba42cc1c8e1,ISM Manufacturing PMI,USD,2026-08-03T10:00:00-04:00,High,,54.0,53.3,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
cefcd35d033004c35d6f2daa51ae615201cdafbe,ISM Manufacturing Prices,USD,2026-08-03T10:00:00-04:00,Medium,,70.0,73.0,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
b62eda27fd251ec172edfa0adb8ca5a9a2e25660,Omdia Total Vehicle Sales,USD,2026-08-03T10:15:00-04:00,Low,,16.3M,16.5M,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
c9450fad4afbd3568fee92239c3d9ffdd1e31ceb,Loan Officer Survey,USD,2026-08-03T14:03:00-04:00,Low,,,,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
88e1442e00033503552c9fe3dedf319f0bc02009,Monetary Base y/y,JPY,2026-08-03T19:50:00-04:00,Low,,-13.0%,-13.7%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
f68a27a1f622f70605441fa1cc1e509987534edc,ANZ Job Advertisements m/m,AUD,2026-08-03T21:30:00-04:00,Low,,,-0.2%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
dd4f1b53526c6559fd51f679431e3cf7171cfbce,Household Spending m/m,AUD,2026-08-03T21:30:00-04:00,Low,,0.2%,1.3%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
887ef6e64808a24bd3f79b59d0974ca79432e37a,10-y Bond Auction,JPY,2026-08-03T23:35:00-04:00,Low,,,2.73|3.1,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
1172f9ec92ed95bc3e590232749a0e992051a722,Commodity Prices y/y,AUD,2026-08-04T02:30:00-04:00,Low,,,16.9%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
e6be36fb5dd87c762602f09d748842a7016405b1,French Gov Budget Balance,EUR,2026-08-04T02:45:00-04:00,Low,,,-93.3B,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
b6471fa5f0c5981c256abb8f595ad7c70e6287af,Spanish Unemployment Change,EUR,2026-08-04T03:00:00-04:00,Low,,-20.3K,-28.7K,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
0855d68a4d0d39b2251456b68ff6b460d9180299,Italian Retail Sales m/m,EUR,2026-08-04T04:00:00-04:00,Low,,0.1%,0.2%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
da7920cb32f929759a2238f9af0cacec933e4805,Trade Balance,CAD,2026-08-04T08:30:00-04:00,Low,,3.0B,4.2B,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
de9efe7eea1a03e05c2b095fbf1873594ea294cb,Trade Balance,USD,2026-08-04T08:30:00-04:00,Low,,-73.0B,-77.6B,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
bb8b8d47d868b7009f1111d581b111532adcac6f,Manufacturing PMI,CAD,2026-08-04T09:30:00-04:00,Low,,50.2,53.0,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
ef40819010a8adcf52a78620a9e2cdac761a6233,Factory Orders m/m,USD,2026-08-04T10:00:00-04:00,Low,,0.0%,-1.3%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
361bbc182476322dcbf8de0901c70ed924e34067,JOLTS Job Openings,USD,2026-08-04T10:00:00-04:00,Medium,,7.42M,7.59M,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
0f72a3f5e89cc464e183b98caaa599df48bb117b,RCM/TIPP Economic Optimism,USD,2026-08-04T10:10:00-04:00,Low,,47.5,45.5,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
dbb4b2eead32355d6f4afadce2282dc58334d52e,GDT Price Index,NZD,2026-08-04T10:50:00-04:00,Low,,,1.5%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
e510aa06ee39499880d0bb12c8ac1ed29b32007f,API Weekly Statistical Bulletin,USD,2026-08-04T16:30:00-04:00,Low,,,,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
0e5a24d8739a86cfffc1c29e6724bf60cad67272,Employment Change q/q,NZD,2026-08-04T18:45:00-04:00,High,,0.1%,0.2%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
74645c9e04b81dddf49305ef3e75a1c6a9a5bf15,Labor Cost Index q/q,NZD,2026-08-04T18:45:00-04:00,Low,,0.6%,0.5%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
d4381ae312d4d52a25a8ada0a21734dafe69f8ce,Unemployment Rate,NZD,2026-08-04T18:45:00-04:00,High,,5.4%,5.3%,2026-08-02T05:58:08+00:00,2026-08-02T08:42:30+00:00
